Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_PLACE,Geo_CSA,SE_T003_001,SE_T003_002,SE_T003_003
36099,Seneca County,"Seneca County, New York",0,36,99,,,,,33814,-1437,-4.0764801
36101,Steuben County,"Steuben County, New York",0,36,101,,,,,93584,-5406,-5.461157693
36103,Suffolk County,"Suffolk County, New York",0,36,103,,,,,1525920,32034.61196,2.144382174
36105,Sullivan County,"Sullivan County, New York",0,36,105,,,,,78624,1077,1.388835158
36107,Tioga County,"Tioga County, New York",0,36,107,,,,,48455,-2671.747338,-5.225733059
36109,Tompkins County,"Tompkins County, New York",0,36,109,,,,,105740,4176,4.11169312
36111,Ulster County,"Ulster County, New York",0,36,111,,,,,181851,-642,-0.351794315
36113,Warren County,"Warren County, New York",0,36,113,,,,,65737,30,0.045657236
36115,Washington County,"Washington County, New York",0,36,115,,,,,61302,-1914,-3.027714503
36117,Wayne County,"Wayne County, New York",0,36,117,,,,,91283,-2489,-2.654310455
36119,Westchester County,"Westchester County, New York",0,36,119,,,,,1004457,55340.29574,5.8307156
36121,Wyoming County,"Wyoming County, New York",0,36,121,,,,,40531,-1624,-3.852449294
36123,Yates County,"Yates County, New York",0,36,123,,,,,24774,-577.4800512,-2.277894821
